ensembl_gene_id	IDR_30C_1_pellet_262	IDR_30C_1_SN_244	IDR_30C_1_total_226	IDR_30C_2_pellet_263	IDR_30C_2_SN_245	IDR_30C_2_total_227	IDR_40C_1_pellet_264	IDR_40C_1_SN_246	IDR_40C_1_total_228	IDR_40C_2_pellet_265	IDR_40C_2_SN_247	IDR_40C_2_total_229	IDR_42C_1_pellet_266	IDR_42C_1_SN_248	IDR_42C_1_total_230	IDR_42C_2_pellet_267	IDR_42C_2_SN_249	IDR_42C_2_total_231	WT_30C_1_pellet_250	WT_30C_1_SN_232	WT_30C_1_total_214	WT_30C_2_pellet_251	WT_30C_2_SN_233	WT_30C_2_total_215	WT_40C_1_pellet_252	WT_40C_1_SN_234	WT_40C_1_total_216	WT_40C_2_pellet_253	WT_40C_2_SN_235	WT_40C_2_total_217	WT_42C_1_pellet_254	WT_42C_1_SN_236	WT_42C_1_total_218	WT_42C_2_pellet_255	WT_42C_2_SN_237	WT_42C_2_total_219
YJL013C	253	247	267	244	278	281	438	308	531	420	308	517	422	158	272	602	246	240	297	388	186	306	331	276	335	351	340	407	385	412	462	173	318	518	33	335
YJL014W	3051	4005	5139	2930	4826	5017	2033	2058	2867	1783	2184	3138	2769	2756	3614	3213	3094	3297	2323	5071	4280	2489	5519	6411	1553	2959	2757	1832	3083	3280	3198	3956	4816	3380	2425	4673
YJL015C	37	30	31	42	29	52	64	42	53	61	53	52	138	51	76	169	45	79	24	29	20	36	31	28	59	59	64	92	66	105	134	69	116	131	38	112
YJL016W	1197	581	833	1132	714	829	2814	1334	2111	2619	1381	2196	6944	2255	4256	8678	2688	3536	812	549	661	982	736	966	2691	2361	3026	3266	2636	3692	6248	2669	5125	6119	1596	4951
YJL019W	1048	330	478	882	362	458	775	121	241	740	124	289	1206	212	399	1456	193	345	783	360	413	850	349	652	705	122	264	789	113	309	1303	151	519	1259	147	512
YJL020C	1369	944	653	1089	880	670	2175	984	1125	1917	996	1020	1258	543	523	1658	719	533	1007	913	583	962	726	859	1424	716	807	1536	904	1026	1224	732	784	1232	380	637
YJL020W-A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YJL022W	1	0	0	0	0	0	1	1	1	3	2	2	0	2	2	0	1	3	0	1	1	0	1	1	4	2	0	0	1	2	1	1	1	3	0	0
YJL023C	135	119	125	113	127	148	233	145	221	202	132	239	241	83	216	263	105	140	62	103	64	90	107	120	172	115	193	169	104	189	224	72	240	206	22	140
YJL024C	116	220	209	98	244	258	145	182	223	140	184	235	164	162	198	148	165	194	98	231	214	111	204	243	114	185	166	159	181	259	179	188	265	192	136	236
YJL025W	378	70	88	300	84	100	279	55	90	227	59	114	263	68	87	267	58	85	282	91	110	291	80	129	189	64	93	269	54	93	247	36	109	263	35	97
YJL026C-A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YJL026W	2031	1774	2195	1746	2203	2167	2316	2366	2921	1979	2252	2978	1937	2161	2660	2040	2066	2097	1306	2107	2513	1276	2021	2633	1209	2312	2241	1546	2466	2978	1773	2268	2867	1729	2303	2465
YJL027C	12	14	14	10	8	10	42	24	45	38	38	45	84	30	43	61	41	45	8	6	9	14	12	9	32	36	27	59	24	33	62	32	43	54	18	53
YJL028W	0	0	4	3	0	1	10	6	10	14	4	11	50	15	26	42	20	25	3	4	4	2	1	3	30	9	4	18	6	9	52	11	22	63	7	33
YJL029C	991	608	795	880	785	900	1296	588	928	1284	562	912	1622	394	754	2134	439	653	874	841	946	943	691	1065	1104	588	865	1288	564	966	1587	317	928	1713	265	814
YJL030W	259	367	445	260	467	474	385	583	657	330	608	732	407	577	585	318	533	542	207	407	351	228	413	409	231	587	498	333	531	645	323	476	630	374	222	594
YJL031C	266	307	448	227	373	477	482	394	607	452	454	648	829	557	830	779	599	689	194	423	281	229	354	425	402	528	439	597	485	518	784	470	848	833	147	712
YJL032W	15	28	35	5	22	33	13	17	22	18	14	25	37	20	17	19	20	26	7	27	21	8	22	21	10	23	16	24	17	19	24	25	39	23	9	39
YJL033W	2929	2989	3359	2345	2294	2668	325	250	406	314	273	469	956	472	979	1335	1028	842	1366	2094	867	1692	2411	2391	309	323	385	382	448	579	1510	1340	1890	1373	439	1650
YJL034W	14376	8357	11567	14596	10894	12772	119973	64790	106266	121570	63752	76267	87140	37300	47265	104199	43871	47364	15943	7045	12444	17586	9223	13588	98870	47998	70724	115079	57657	103564	93982	25566	45908	90762	15217	52765
YJL035C	128	200	243	120	213	242	437	559	794	379	738	876	1598	1785	2009	1314	1621	1916	124	241	236	202	309	276	522	777	636	622	662	824	1580	2106	2391	1716	790	2407
YJL036W	526	786	971	475	964	992	1103	1295	1907	1093	1362	1880	937	816	1062	1064	1211	996	388	867	587	400	846	801	810	1432	1330	963	1286	1533	769	833	1003	779	254	1069
YJL037W	23	15	15	19	16	18	52	37	50	48	38	43	35	33	49	32	26	32	8	12	10	10	6	10	26	26	24	26	28	36	32	9	37	35	5	33
YJL038C	31	21	23	17	25	25	41	42	56	39	39	50	42	17	38	37	31	35	17	12	10	17	9	15	23	44	22	31	31	30	33	29	45	47	17	49
YJL039C	9311	3591	4998	8137	3852	4275	5271	1058	1914	5098	1126	2305	5944	586	1867	8329	662	1867	5952	4129	3761	6920	3901	6081	4400	1148	2014	5173	1029	2400	6596	654	2971	6397	535	2980
YJL041W	1043	515	544	859	541	472	826	164	287	755	145	271	724	124	235	1061	138	226	671	771	485	729	603	718	624	213	281	690	241	349	796	355	612	805	253	376
YJL042W	2187	727	717	1831	746	780	15054	2503	3818	13662	2274	3087	7700	895	1404	10922	999	1508	1748	695	874	1877	677	1005	8338	1472	2501	8971	1568	3229	6184	703	1846	5471	448	1511
YJL043W	27	7	15	27	6	9	428	51	141	450	43	117	318	79	132	299	79	134	16	12	9	27	7	18	306	21	84	266	18	74	272	43	116	264	45	107
YJL044C	1285	958	1298	1131	1209	1473	1849	512	959	1717	576	1060	2275	452	935	2903	464	810	746	882	902	896	823	1202	1121	481	628	1346	438	762	1885	258	807	1970	206	914
YJL045W	68	45	55	70	43	62	405	170	267	404	200	283	182	80	112	173	56	119	42	62	29	58	44	54	261	139	151	290	97	169	111	54	79	128	42	71
YJL046W	652	384	483	578	424	485	823	354	655	810	380	618	1018	196	410	1055	296	362	557	501	349	602	485	467	576	376	376	774	331	557	1011	198	555	1063	52	541
YJL047C	826	457	700	752	571	823	1402	433	785	1210	464	847	1597	273	703	2235	307	633	594	467	692	754	516	969	1013	406	769	1168	422	835	1677	271	1027	1757	195	999
YJL047C-A	36	19	8	27	9	10	67	11	24	82	9	38	106	78	97	106	79	91	35	10	19	52	11	19	74	12	30	98	16	39	117	83	113	139	53	153
YJL048C	216	200	306	166	239	277	547	630	864	517	669	918	492	456	695	445	461	534	140	191	217	131	230	271	400	729	637	419	758	776	391	497	666	405	276	547
YJL049W	122	155	122	89	98	137	148	117	221	104	164	205	119	94	107	181	142	116	112	204	60	119	168	107	137	166	213	102	208	249	173	145	274	134	29	218
YJL050W	6258	6107	7356	5341	5729	5954	1134	777	1075	974	751	1317	2698	1934	2554	3558	2439	2453	3678	5357	4155	4374	6251	6822	813	871	899	1118	963	1146	3505	3149	3404	3793	1353	3601
YJL051W	1086	328	463	916	396	527	313	63	124	303	73	159	435	71	161	585	67	136	1040	416	632	1028	422	807	223	59	92	237	53	106	391	74	215	425	38	163
YJL052C-A	1	0	3	1	1	2	11	0	2	5	1	2	11	7	16	13	2	9	0	1	1	4	0	2	8	2	2	5	2	0	14	5	10	11	6	15
YJL052W	1085	1978	3047	1254	2646	3407	8463	14559	20543	8231	15967	22957	4349	9508	11103	3287	6807	8106	646	1630	2526	828	2300	3272	5017	11789	13410	5179	11146	14518	2526	4325	5369	2365	4200	5993
YJL053W	196	255	293	202	373	345	333	605	882	340	628	814	337	499	551	381	620	553	157	341	292	181	331	404	312	641	738	322	737	1054	368	374	605	408	219	457
YJL054W	1185	868	947	1009	885	876	650	262	404	594	260	436	692	210	356	758	219	311	1021	881	906	1094	853	1036	535	240	334	634	255	409	900	258	530	877	245	415
YJL055W	453	1075	1276	408	1225	1210	1278	1714	2515	1183	2000	2736	1189	1462	1846	1136	1398	1693	371	1372	989	405	1342	1225	885	2134	1838	1058	1960	1937	1016	1532	1749	1091	795	1664
YJL056C	631	191	176	416	170	177	525	97	167	440	78	126	429	82	110	545	84	118	357	161	215	482	160	301	374	81	131	471	97	224	398	66	179	417	38	168
YJL057C	819	535	685	866	717	806	4154	3079	4529	4045	3334	4523	2069	1303	1674	2415	1392	1542	654	632	664	643	569	718	2519	2654	2838	2747	2348	3018	1306	717	1019	1265	467	1018
YJL058C	360	154	191	335	216	205	407	88	184	392	105	193	342	96	174	310	88	167	191	188	162	239	160	231	222	99	173	293	125	217	222	69	171	276	53	161
YJL059W	162	81	97	153	89	135	154	65	123	140	72	103	167	79	97	173	63	96	143	106	158	150	83	139	161	81	127	171	75	177	139	63	154	137	68	130
YJL060W	233	151	109	191	184	143	273	217	261	227	224	278	155	196	267	200	192	204	249	228	234	251	186	291	257	202	282	245	230	382	170	183	327	160	140	218
YJL061W	1228	709	1282	1086	976	1281	968	311	651	894	381	780	1359	199	790	1955	227	566	854	1171	956	1076	1038	1650	819	367	640	902	415	636	1540	259	1118	1562	166	921
YJL062W	719	247	340	727	292	372	797	181	311	784	148	302	817	127	255	1027	120	267	754	240	430	842	219	483	650	147	265	675	130	347	896	109	466	943	82	385
YJL062W-A	32	76	79	36	81	108	143	124	179	127	119	219	97	151	151	96	122	121	25	96	133	42	78	116	124	99	140	108	99	144	83	78	165	94	92	129
YJL063C	350	444	702	380	616	721	519	244	414	551	259	473	509	437	549	437	354	492	314	632	787	315	641	844	457	255	346	556	284	338	445	387	550	501	440	631
YJL064W	2	0	2	0	2	1	0	0	2	1	0	0	1	0	0	1	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	2
YJL065C	23	39	41	21	51	52	24	22	42	26	41	50	41	53	59	40	36	30	18	46	46	31	40	68	26	23	46	36	33	52	28	35	67	38	28	42
YJL066C	44	35	61	36	78	75	229	183	314	237	187	276	179	160	179	154	151	163	48	42	87	27	51	66	151	162	230	204	134	245	127	80	144	118	49	129
YJL067W	4	4	4	3	4	7	18	14	14	12	16	12	13	14	15	8	9	7	2	2	5	3	5	1	12	9	15	7	4	9	9	8	10	4	4	14
YJL068C	263	430	596	237	534	732	425	700	925	461	814	996	410	800	758	262	582	664	193	597	772	211	594	708	328	832	796	363	760	829	296	578	617	343	607	663
YJL069C	2456	1772	2629	2121	2004	2279	157	79	136	166	76	164	622	473	551	719	662	675	1342	1666	1293	1684	1927	2190	167	101	104	230	109	180	790	784	856	873	504	1077
YJL070C	945	601	893	1054	828	977	1902	488	1041	1948	629	1021	1649	228	546	2046	261	580	801	780	719	842	716	1038	1434	662	951	1709	568	1053	1035	231	621	1274	130	706
YJL071W	943	507	833	879	645	887	1194	309	566	1179	330	674	1370	236	527	1570	258	553	675	539	719	781	501	842	725	307	413	893	301	554	901	229	538	1016	192	558
YJL072C	228	411	504	192	431	583	212	207	275	206	228	339	402	242	276	261	190	260	177	408	463	168	444	518	139	236	209	209	232	246	224	250	349	233	157	341
YJL073W	1155	493	597	1082	596	644	2976	641	1282	2809	769	1314	1543	342	554	1969	277	458	957	594	615	1005	561	741	1904	581	980	2138	670	1178	1237	257	692	1294	210	651
YJL074C	1177	852	1161	1154	751	892	2940	987	2660	2367	1568	2870	1883	275	1039	3732	629	1049	945	1510	437	1099	1286	1474	2390	1320	1791	1701	1231	1990	2579	556	1796	2256	114	1452
YJL075C	29	14	18	21	14	9	35	2	12	38	5	13	34	3	9	59	5	7	23	19	18	16	14	23	18	6	12	29	6	18	50	5	22	39	5	15
YJL076W	3004	1160	1296	2324	1372	1200	2861	344	823	2670	400	766	3184	355	862	4869	413	753	2100	1434	1107	2246	1270	1581	2315	361	786	2612	415	1027	3767	414	1480	3534	286	1160
YJL077C	180	78	84	175	69	97	258	31	103	234	50	82	250	59	85	263	45	93	119	48	83	115	37	82	176	22	83	188	22	76	198	29	82	225	40	98
YJL077W-A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YJL077W-B	143	33	58	110	37	81	183	31	56	152	26	64	162	23	47	223	29	45	84	20	54	108	37	64	104	16	41	128	8	45	119	17	53	122	14	67
YJL078C	2181	604	910	2105	626	868	2774	364	789	2738	344	802	2443	253	650	3091	249	579	1325	565	741	1544	556	747	1994	261	581	1996	220	506	2111	179	501	2006	166	577
YJL079C	105	42	53	87	38	47	201	41	70	179	44	64	118	37	68	187	50	66	92	42	51	97	36	35	153	38	42	137	36	60	151	28	60	137	35	70
YJL080C	8889	6284	7011	7570	6899	6489	6378	3516	4709	6011	3441	4669	8849	2022	2884	13178	2348	3145	6704	7607	7750	6646	7495	10266	4409	3668	4692	4978	4218	6154	8584	3944	6109	8653	2761	5411
YJL081C	987	1002	1214	950	1375	1258	1084	608	955	1094	611	1030	1576	448	916	2052	526	791	824	1378	1082	1003	1313	1654	757	701	793	963	740	892	1680	627	1180	1822	326	1025
YJL082W	6502	2663	3861	6214	3482	4450	13349	4010	7156	13100	4125	6952	9248	1483	2692	11282	1565	2959	2775	2142	3165	3048	2252	3293	6816	3512	4702	7928	3237	5477	4976	968	2278	5077	772	2591
YJL083W	598	140	167	464	151	208	1289	216	408	1247	211	315	1013	165	276	1278	221	241	372	96	200	454	92	234	1022	102	332	1104	108	423	1002	101	336	1018	72	290
YJL084C	535	105	85	378	98	92	590	48	96	452	54	96	378	33	76	493	44	53	305	134	79	342	113	140	445	57	92	490	54	139	426	44	161	374	48	131
YJL085W	356	364	450	323	394	424	332	208	425	282	293	454	295	153	303	437	199	273	280	519	225	343	427	476	326	252	408	318	294	478	344	198	432	358	118	389
YJL086C	1	0	0	2	1	0	0	0	1	1	0	1	9	1	2	8	3	0	0	0	0	2	1	0	1	1	0	4	0	0	11	3	4	8	0	4
YJL087C	1529	1297	1612	1437	1250	1434	522	259	475	529	304	479	1240	240	474	1621	316	545	988	1395	812	1181	1441	1504	475	459	449	527	408	571	1522	531	1028	1535	222	1064
YJL088W	142	118	159	145	161	172	163	118	151	168	130	195	186	122	190	197	137	140	156	147	173	165	223	305	143	118	139	169	107	171	151	109	208	169	72	188
YJL089W	158	62	67	145	63	75	1957	1050	1530	1630	1332	1575	1509	787	1148	1465	602	835	85	55	60	118	86	89	1203	850	1249	1392	906	1531	1370	560	1438	1387	214	1266
YJL090C	723	231	286	538	250	345	413	118	249	382	156	224	363	112	154	453	118	174	444	272	240	519	228	390	386	131	258	425	155	295	383	120	270	368	73	254
YJL091C	982	489	699	983	541	755	2197	955	1561	2147	1163	1765	1934	822	1231	1553	647	1125	1027	494	776	1129	512	864	2061	1062	1568	2263	1053	1806	1469	490	1311	1636	462	1237
YJL092W	3866	772	1017	3378	964	1126	3041	286	801	2868	337	855	2270	255	720	3585	315	667	2065	938	795	2211	840	1232	1862	264	691	1952	254	765	2043	227	992	1937	134	864
YJL093C	2992	1345	2020	2890	1562	2123	2547	537	938	2674	524	1079	2727	287	694	2802	295	712	2206	1267	1698	2364	1181	1886	1646	353	702	2188	333	784	2073	172	701	2302	159	899
YJL094C	1161	432	631	1172	500	745	4005	876	1763	3810	953	1783	3845	756	1604	4458	625	1328	1079	388	694	1262	431	860	4292	995	2218	4774	975	2607	3663	453	2178	3705	438	2083
YJL095W	1397	389	409	1137	410	353	1184	178	345	1158	169	303	946	141	222	1402	125	231	1147	350	373	1069	293	544	934	140	307	1144	130	368	1151	104	412	1064	64	335
YJL096W	134	476	457	124	412	474	228	328	436	209	401	486	221	383	409	179	241	355	116	464	403	150	440	470	178	476	319	247	390	428	211	371	466	239	204	416
YJL097W	136	78	70	105	98	76	158	50	83	126	78	90	142	65	103	156	74	94	123	79	85	139	75	143	128	57	124	143	82	123	177	67	182	172	66	133
YJL098W	3355	1809	2324	2508	1638	1723	1096	177	455	962	209	498	1620	148	543	2605	247	588	1690	1760	924	2133	1802	1836	809	233	325	814	214	411	2298	273	1020	2001	97	1021
YJL099W	821	516	680	860	658	775	823	271	510	879	272	547	1138	180	432	1481	210	409	579	614	570	651	563	730	699	341	511	818	321	527	901	168	450	973	62	422
YJL100W	686	234	323	623	295	384	765	268	438	752	299	447	519	191	283	586	201	262	479	143	334	452	122	351	569	88	372	684	111	442	547	80	301	576	64	253
YJL101C	3918	1886	2675	3775	2182	2803	4725	697	1618	4721	737	1669	5374	405	1286	5881	398	1173	2762	1427	2558	3275	1857	3092	3149	416	1170	4142	462	1389	4046	230	1333	4252	148	1582
YJL102W	921	329	475	857	458	568	1665	288	613	1677	335	673	1190	108	283	1501	99	282	798	467	406	763	376	524	1388	337	584	1383	322	614	1051	98	406	1037	75	365
YJL103C	304	83	116	296	119	144	771	252	517	698	324	512	432	159	287	628	149	236	207	95	101	214	81	138	612	213	431	614	207	477	456	108	400	453	47	283
YJL104W	106	362	427	112	412	397	78	191	223	53	225	295	74	265	331	76	265	273	79	544	289	115	466	477	54	291	261	54	323	297	92	442	504	110	241	393
YJL105W	391	97	150	298	105	142	329	83	157	275	94	136	415	48	181	676	67	164	228	135	141	338	125	193	268	70	137	355	67	163	491	70	288	493	33	255
YJL106W	212	61	70	166	57	102	563	159	331	529	177	288	507	166	309	741	194	274	148	68	90	148	65	91	573	210	320	625	240	415	461	135	268	454	71	327
YJL107C	357	157	284	383	262	335	795	350	619	858	365	618	984	349	519	1169	345	536	215	226	263	276	211	317	624	442	597	754	374	637	618	193	464	722	111	469
YJL108C	315	169	247	338	246	285	854	341	606	858	326	622	906	320	579	1240	315	516	255	190	246	258	184	289	624	364	536	766	359	590	606	136	433	695	108	416
YJL109C	17783	7344	9208	13930	6905	7851	4832	761	1512	4409	786	1712	8210	546	1802	10258	559	1887	10220	6033	7486	12469	6580	10969	4044	823	1527	5408	799	2026	11264	681	4216	10673	553	3923
YJL110C	1980	575	897	1603	676	941	916	200	436	853	206	416	1589	217	601	2136	323	647	1168	341	592	1519	423	885	911	165	452	1156	189	561	2291	226	1082	2504	102	1215
YJL111W	3846	4101	5542	3145	5208	5252	1955	1287	1913	1819	1289	2117	3324	1764	2597	4181	2052	2616	2281	5451	3920	2626	5718	6343	1521	1788	1915	1841	1770	2358	3798	2648	3663	3860	1541	3939
YJL112W	1235	725	961	1097	884	1105	832	286	499	809	285	591	997	276	481	1302	355	462	1028	932	906	1062	834	1080	882	398	518	1129	400	558	1156	311	661	1224	177	680
YJL113W	457	90	133	414	77	131	585	66	250	562	99	213	348	26	123	643	69	135	383	122	55	375	108	191	586	112	197	553	89	266	482	67	224	417	11	222
YJL114W	27	4	3	15	1	7	42	6	15	36	6	13	22	2	6	37	4	7	15	7	4	17	4	15	43	6	15	43	9	12	24	3	21	22	1	19
YJL115W	323	548	491	259	439	463	596	583	1022	553	755	995	1182	914	1078	1799	1827	1270	209	662	251	289	649	373	502	858	770	556	858	950	1223	1067	1044	1307	222	1398
YJL116C	254	81	127	204	90	122	427	152	258	371	158	245	296	82	162	345	91	165	144	90	101	170	79	99	292	124	169	346	115	176	300	40	130	284	26	117
YJL117W	2309	2276	2991	2045	2709	2903	1868	670	1164	1868	653	1271	2650	549	1157	2152	554	977	2028	2446	2443	2199	2507	3186	1356	942	1056	1990	1010	1242	2425	924	1626	2784	623	1479
YJL118W	96	27	32	82	37	59	59	18	42	59	24	32	100	22	29	74	17	45	50	31	44	73	22	36	58	23	24	73	8	24	48	13	32	70	13	33
YJL119C	32	15	18	47	18	19	29	5	5	31	4	14	32	9	8	37	8	12	31	6	15	21	13	14	15	3	9	25	2	10	30	2	13	24	3	15
YJL120W	79	27	33	90	23	43	70	17	24	59	9	28	98	21	32	86	26	37	52	21	34	68	14	36	51	11	28	62	12	16	92	10	46	122	16	47
YJL121C	537	819	984	499	935	1117	667	309	510	611	420	530	687	620	644	554	425	557	392	597	1440	383	754	1442	486	339	596	633	401	728	583	562	909	610	614	1005
YJL122W	576	1270	1376	453	1331	1226	56	10	28	48	13	73	119	68	85	142	82	76	286	938	663	364	1040	1086	55	20	34	76	19	34	202	98	210	183	76	175
YJL123C	1108	1986	2575	1049	2181	2499	1098	2089	3193	1085	2463	3368	1180	1451	2016	1520	2793	1967	906	2854	1298	939	2740	2285	866	3146	2332	1032	2747	2698	1201	2103	2063	1352	760	2393
YJL124C	381	291	344	306	376	335	475	122	278	403	151	269	507	111	230	646	132	176	230	342	235	254	339	342	343	122	211	387	153	288	620	98	365	578	55	302
YJL125C	542	497	577	400	559	561	305	151	205	271	135	251	441	147	306	457	149	237	355	500	360	485	591	646	323	134	236	357	130	264	602	212	520	598	143	388
YJL126W	161	265	281	123	265	293	236	289	370	234	319	465	472	389	447	483	263	387	129	238	295	119	253	291	201	357	312	263	278	368	356	344	422	362	225	450
YJL127C	715	256	395	682	374	459	761	155	297	765	138	290	1078	151	354	1472	169	335	477	271	442	560	294	546	674	122	278	668	169	340	947	109	439	944	97	380
YJL127C-B	216	207	249	204	217	318	217	113	223	205	164	252	257	173	248	209	116	185	157	169	293	168	167	276	157	149	148	194	123	180	187	127	224	179	112	201
YJL127W-A	118	47	64	147	62	82	221	31	75	224	26	77	198	20	56	238	25	56	52	24	44	72	30	69	81	30	43	124	13	71	87	6	35	88	11	40
YJL128C	3324	1541	2206	2950	2026	2337	5425	1110	2199	5116	1140	2069	4803	549	1240	6271	607	1267	1569	1220	1808	1783	1324	2100	2799	870	1513	3596	839	1804	2900	334	1095	3436	225	1270
YJL129C	5009	1519	1851	4023	1590	1687	3250	530	1087	2926	563	1002	3284	341	929	4850	390	926	3389	1321	1423	3608	1398	2282	2273	444	899	2700	468	1087	3444	332	1294	3253	197	1305
YJL130C	43926	12457	16019	36870	13055	14051	16674	1438	3356	15485	1479	4070	19920	998	3992	27620	915	3762	38905	22637	25589	41300	20503	30229	15937	1733	4104	17119	1927	4731	29885	1476	9595	27150	1328	8014
YJL131C	253	186	198	259	201	258	379	250	545	312	338	500	277	178	257	391	242	253	186	224	102	212	174	162	262	281	275	253	262	324	279	224	272	306	91	249
YJL132W	413	215	316	459	305	326	847	231	407	788	287	459	872	177	338	864	187	297	359	259	392	372	220	368	748	359	463	815	314	480	685	147	429	662	85	365
YJL133C-A	22	36	39	29	48	49	93	178	204	63	216	234	26	55	51	19	40	39	22	61	89	20	28	53	65	126	126	65	156	165	14	30	31	15	12	34
YJL133W	272	105	124	228	115	122	208	64	88	183	80	86	183	74	104	220	55	83	225	155	126	224	126	159	168	69	78	209	61	111	171	98	161	199	69	117
YJL134W	957	988	1248	1036	1150	1366	591	405	515	633	458	658	1354	639	781	932	467	768	1114	845	1182	1139	894	1315	390	369	345	570	339	482	1191	536	832	1349	409	939
YJL135W	11	6	4	7	8	4	6	1	5	10	3	3	23	10	18	29	6	12	2	6	1	7	2	4	8	2	3	7	1	5	16	9	13	20	3	16
YJL136C	518	1824	1365	520	1540	1622	598	656	996	475	1203	1119	511	1459	1183	310	709	848	401	1557	2294	424	1370	1992	358	914	961	484	967	1421	356	1172	1978	364	1284	1758
YJL136W-A	2	1	2	5	0	4	2	0	2	4	2	0	4	3	4	2	1	3	0	2	2	3	1	0	1	1	0	4	0	1	6	4	3	3	1	3
YJL137C	194	70	130	192	141	133	173	99	146	136	103	182	167	90	126	146	81	109	107	110	146	137	125	159	105	73	113	130	73	101	141	89	170	139	89	164
YJL138C	885	1072	1144	688	1104	1136	427	365	571	340	454	621	547	692	1012	536	535	714	629	1286	1508	643	1156	1980	312	527	650	385	580	783	645	916	1832	602	1054	1141
YJL139C	682	345	475	612	419	472	655	296	482	650	322	524	807	234	547	906	235	381	490	306	394	580	322	560	624	277	402	660	314	473	870	181	610	864	167	532
YJL140W	807	1173	1732	702	1144	1545	885	716	1188	938	836	1327	1320	477	1083	1403	678	944	533	1420	984	562	1370	1308	749	1030	875	975	940	1055	1110	818	1261	1250	280	1202
YJL141C	958	340	366	804	418	399	4329	1426	2271	3995	1569	1967	2881	1114	1109	3244	1055	1020	615	320	396	711	370	549	2787	1305	1742	3374	1390	2016	2335	909	1275	2190	443	1133
YJL142C	64	65	57	46	70	84	235	160	165	252	140	164	212	119	96	166	88	95	38	61	82	48	53	79	143	111	122	179	124	155	148	106	136	146	55	127
YJL143W	129	374	452	152	376	419	162	151	227	136	212	298	282	377	471	184	197	347	103	503	478	122	436	502	188	340	210	200	288	289	198	398	529	225	316	445
YJL144W	28	30	39	26	45	39	1719	4178	6126	1539	4965	6035	1475	3957	3016	1838	4234	3704	20	38	43	54	164	57	1240	3978	3454	1104	3718	4366	1058	2578	2745	1004	832	2604
YJL145W	422	630	762	352	808	823	661	583	878	522	651	1019	1085	880	1402	1181	765	1168	314	829	654	371	755	984	624	759	857	697	833	1003	1317	882	1690	1161	618	1435
YJL146W	344	259	339	312	315	301	367	245	267	324	250	310	414	197	272	494	230	288	258	326	351	317	314	437	339	227	271	342	251	317	477	193	364	448	161	364
YJL147C	297	196	265	271	234	298	390	174	301	309	183	304	325	109	179	361	95	175	227	240	211	241	198	310	232	164	186	292	158	205	250	104	233	281	76	174
YJL148W	742	2184	2386	604	2082	2207	250	170	317	225	195	374	589	424	713	852	685	716	493	1958	776	596	2096	1539	301	284	281	303	262	321	895	973	1544	930	272	1327
YJL149W	173	49	51	149	81	48	212	58	107	194	64	92	202	53	79	253	80	98	119	43	66	153	56	88	195	59	134	226	75	155	275	65	189	323	52	182
YJL150W	4	0	3	3	2	0	9	1	3	3	1	1	10	4	2	9	2	2	1	1	2	5	1	0	5	1	3	6	3	2	14	2	2	19	2	5
YJL151C	55	103	113	56	89	118	229	168	285	203	236	314	165	225	188	183	181	183	41	89	129	47	70	132	163	155	205	207	174	281	156	86	213	215	97	203
YJL152W	21	15	5	15	3	12	115	26	44	115	36	48	140	26	46	185	43	65	8	12	14	21	13	12	127	24	50	131	14	60	145	27	67	169	25	73
YJL153C	1713	1871	2498	1505	2219	2622	1772	384	795	1719	442	853	1638	443	690	1862	397	638	434	705	796	711	1117	1495	1264	364	564	1392	352	608	1684	316	702	1779	286	883
YJL154C	3509	1731	2479	3171	2210	2624	6528	1825	3647	6031	2008	3575	6018	1183	2544	8650	1270	2505	2328	1783	1868	2866	1733	2658	4688	1845	3133	5232	1837	3909	5173	1028	3327	5341	819	3189
YJL155C	1136	948	1246	1133	1119	1251	3608	1708	2559	3520	1713	2796	4014	640	1409	4223	841	1278	642	982	823	649	965	1032	1540	2059	1629	1978	1685	1933	1881	808	1274	2273	340	1334
YJL156C	1035	485	734	890	597	705	759	236	436	693	231	435	924	306	515	1001	278	448	687	593	661	750	586	786	534	307	424	698	310	504	827	307	680	915	202	589
YJL156W-A	101	82	84	69	84	97	64	33	48	55	56	65	88	43	59	106	25	52	71	73	87	85	82	110	49	51	44	66	57	63	105	48	76	88	25	74
YJL157C	3725	1787	2643	3357	2195	2645	705	106	207	639	99	305	1387	219	452	1715	221	416	3382	2961	3164	3816	3054	4287	465	102	148	536	83	194	1195	272	636	1309	190	599
YJL158C	1004	1011	822	682	1085	892	507	504	550	434	520	492	837	880	557	780	905	633	631	503	984	594	576	952	334	277	366	431	380	560	787	530	789	779	402	698
YJL159W	1810	969	851	1296	1060	785	2848	1839	1919	2325	1575	1559	1794	1364	1088	2087	1511	1168	1232	577	1000	1264	671	1048	1915	792	1345	2145	1254	2291	1698	869	1285	1514	604	1229
